Name,Total,HP,Attack,Defence,Sp_attack,Sp_defence,Speed,Description
Salamence,600,95,135,80,110,80,100,The aura that emanates from its body intensifies to alert others if it is afraid or sad.
Mega Salamence,700,95,145,130,120,90,120,It has the ability to sense the auras of all things. It understands human speech.
Beldum,300,40,55,80,35,60,30,"It lives in arid places. Instead of perspiration, it expels grainy sand from its body."
Metang,420,60,75,100,55,80,50,It blasts internally stored sand from ports on its body to create a towering twister for attack.
Metagross,600,80,135,130,95,90,70,It grips prey with its tail claws and injects poison. It tenaciously hangs on until the poison takes.
Mega Metagross,700,80,145,150,105,110,110,It has the power in its clawed arms to make scrap of a car. The tips of its claws release poison.
Regirock,580,80,100,200,50,100,50,Its cheeks hold poison sacs. It tries to catch foes off guard to jab them with toxic fingers.
Regice,580,80,50,100,100,200,50,Its knuckle claws secrete a toxin so vile that even a scratch could prove fatal.
Registeel,580,80,75,150,75,150,50,"It attracts prey with its sweet- smelling saliva, then chomps down. It takes a whole day to eat prey."
Latias,600,80,80,90,110,130,110,"After long exposure to sunlight, the patterns on its tail fins shine vividly when darkness arrives."
Mega Latias,700,80,100,120,140,150,110,It lives on the deep-sea floor. It attracts prey by flashing the patterns on its four tail fins.
Latios,600,80,90,80,130,110,110,A friendly Pokemon that captures the subtle flows of seawater using its two antennae.
Mega Latios,700,80,130,100,160,120,110,"It lives on snowy mountains. Having had little contact with humans, it is boldly inquisitive."
Kyogre,670,100,100,90,150,140,90,It whips up blizzards in mountains that are always buried in snow. It is the abominable snowman.
Mega Kyogre,770,100,150,90,180,160,90,"They live in cold regions, forming groups of four or five that hunt prey with impressive coordination."
Groudon,670,100,150,140,100,90,90,It evolved from exposure to a special magnetic field. Three units generate magnetism.
Mega Groudon,770,100,180,160,150,90,90,It wraps things with its extensible tongue. Getting too close to it will leave you soaked with drool.
Rayquaza,680,105,150,90,150,90,95,It puts rocks in holes in its palms and uses its muscles to shoot them. GEODUDE are shot at rare times.
Mega Rayquaza,780,105,180,100,180,100,115,It ensnares prey by extending arms made of vines. Losing arms to predators does not trouble it.
Jirachi,600,100,100,100,100,100,100,"As its electric charge amplifies, blue sparks begin to crackle between its horns."
Deoxys,600,50,150,50,150,50,150,"It blasts fireballs of over 3,600 degrees F from the ends of its arms. It lives in volcanic craters."
Mega Deoxys,600,50,180,20,180,20,150,It will never appear where there is strife. Its sightings have become rare recently.
Mega Deoxys X,600,50,70,160,70,160,90,"By churning its wings, it creates shock waves that inflict critical internal injuries to foes."
Mega Deoxys X,600,50,95,90,95,90,180,"Just like a plant, it uses photosynthesis. As a result, it is always enveloped in clear air."
Turtwig,318,55,68,64,45,55,31,"As a protective technique, it can completely freeze its fur to make its hairs stand like needles."
Grotle,405,75,89,85,55,65,36,"It observes prey while hanging inverted from branches. When the chance presents itself, it swoops!"
Torterra,525,95,109,105,75,85,56,Its impressive tusks are made of ice. The population thinned when it turned warm after the ice age.
Chimchar,309,44,58,44,58,44,61,"Additional software was installed to make it a better Pokemon. It began acting oddly, however."
Monferno,405,64,78,52,78,52,81,"A master of courtesy and swordsmanship, it fights using extending swords on its elbows."
Infernape,534,76,104,71,104,71,108,It freely controls three small units called Mini-Noses using magnetic force.
Piplup,314,53,51,53,61,56,40,The antenna on its head captures radio waves from the world of spirits that command it to take people there.
Prinplup,405,64,66,68,81,76,50,It freezes foes with an icy breath nearly -60 degrees F. What seems to be its body is actually hollow.
Empoleon,530,84,86,88,111,101,60,Its body is composed of plasma. It is known to infiltrate electronic devices and wreak havoc.
Starly,245,40,55,30,30,30,60,Known as “The Being of Knowledge.” It is said that it can wipe out the memory of those who see its eyes.
Staravia,340,55,75,50,40,40,80,"Known as “The Being of Emotion.” It taught humans the nobility of sorrow, pain, and joy."
Staraptor,485,85,120,70,50,60,100,Known as “The Being of Willpower.” It sleeps at the bottom of a lake to keep the world in balance.
Bidoof,250,59,45,40,35,40,31,It has the power to control time. It appears in Sinnoh-region myths as an ancient deity.
Bibarel,410,79,85,60,55,60,71,It has the ability to distort space. It is described as a deity in Sinnoh-region mythology.
Kricketot,194,37,25,41,25,41,25,It dwells in volcanic caves. It digs in with its cross-shaped feet to crawl on ceilings and walls.
Kricketune,384,77,85,51,55,51,65,There is an enduring legend that states this Pokemon towed continents with ropes.
Shinx,263,45,65,34,40,34,45,A Pokemon that is said to live in a world on the reverse side of ours. It appears in an ancient cemetery.
Luxio,363,60,85,49,60,49,60,Shiny particles are released from its wings like a veil. It is said to represent the crescent moon.
Luxray,523,80,120,79,95,79,70,"It drifts in warm seas. It always returns to where it was born, no matter how far it may have drifted."
Budew,280,40,30,35,50,70,55,"Born on a cold seafloor, it will swim great distances to return to its birthplace."
Roserade,515,60,70,65,125,105,90,It can lull people to sleep and make them dream. It is active during nights of the new moon.
Cranidos,350,67,125,40,30,30,58,It lives in flower patches and avoids detection by curling up to look like a flowering plant.
Rampardos,495,97,165,60,65,50,58,"It is described in mythology as the Pokemon that shaped the universe with its 1,000 arms."
Shieldon,350,30,42,118,42,88,30,"This Pokemon brings victory. It is said that Trainers with Victini always win, regardless of the type of encounter."
Bastiodon,495,60,52,168,47,138,30,It is very intelligent and calm. Being exposed to lots of sunlight makes its movements swifter.
Burmy,224,40,29,45,29,45,36,"It moves along the ground as if sliding. Its swift movements befuddle its foes, and it then attacks with a vine whip."
Wormadam,424,60,59,85,79,105,36,It can stop its opponents’ movements with just a glare. It takes in solar energy and boosts it internally.
Mega Wormadam,424,60,79,105,59,85,36,It can deftly dodge its foe’s attacks while shooting fireballs from its nose. It roasts berries before it eats them.
Mega Wormadam X,424,60,69,95,69,95,36,"When its internal fire flares up, its movements grow sharper and faster. When in trouble, it emits smoke."
Mothim,424,70,94,50,94,50,66,It can throw a fire punch by setting its fists on fire with its fiery chin. It cares deeply about its friends.
Combee,244,30,30,42,30,42,70,"It fights using the scalchop on its stomach. In response to an attack, it retaliates immediately by slashing."
Vespiquen,474,70,80,102,80,102,40,Strict training is how it learns its flowing double-scalchop technique.
Pachirisu,405,60,45,70,45,90,95,One swing of the sword incorporated in its armor can fell an opponent. A simple glare from one of them quiets everybody.
Buizel,330,55,65,35,60,30,85,"Using food stored in cheek pouches, they can keep watch for days. They use their tails to communicate with others."
Floatzel,495,85,105,55,85,50,115,"When they see an enemy, their tails stand high, and they spit the seeds of berries stored in their cheek pouches."
Cherubi,275,45,35,45,62,53,35,"It faces strong opponents with great courage. But, when at a disadvantage in a fight, this intelligent Pokemon flees."
Cherrim,450,70,60,70,87,78,85,"It has black, cape-like fur that is very hard and decreases the amount of damage it receives."
Shellos,325,76,48,48,57,62,34,It rescues people stranded by blizzards in the mountains. Its shaggy fur shields it from the cold.
Gastrodon,475,111,83,68,92,82,39,"They steal from people for fun, but their victims can’t help but forgive them. Their deceptively cute act is perfect."
Ambipom,482,75,100,66,60,66,115,These Pokemon vanish and appear unexpectedly. Many Trainers are drawn to their beautiful form and fur.
Drifloon,348,90,50,34,60,44,70,This Pokemon dwells deep in the forest. Eating a leaf from its head whisks weariness away as if by magic.
Drifblim,498,150,80,44,90,54,80,"Ill tempered, it fights by swinging its barbed tail around wildly. The leaf growing on its head is very bitter."
Buneary,350,55,66,44,44,56,85,"When it is angered, the temperature of its head tuft reaches 600° F. It uses its tuft to roast berries."
Lopunny,480,65,76,84,54,96,105,It loves sweets because they become energy for the fire burning inside its body.
Mega Lopunny,580,65,136,94,54,96,135,The water stored inside the tuft on its head is full of nutrients. Plants that receive its water grow large.
Mismagius,495,60,60,60,105,105,105,"The tuft on its head holds water. When the level runs low, it replenishes the tuft by siphoning up water with its tail."
Honchkrow,505,100,125,52,105,52,71,Munna always float in the air. People whose dreams are eaten by them forget what the dreams had been about.
Glameow,310,49,55,42,42,37,85,The mist emanating from their foreheads is packed with the dreams of people and Pokemon.
Purugly,452,71,82,64,64,59,112,"Each follows its Trainer’s orders as best it can, but they sometimes fail to understand complicated commands."
Chingling,285,45,30,50,65,50,45,It can return to its Trainer’s location regardless of the distance separating them.
Stunky,329,63,63,47,41,41,74,Males swing their head plumage to threaten opponents. The females’ flying abilities surpass those of the males.
Skuntank,479,103,93,67,71,61,84,"When thunderclouds cover the sky, it will appear. It can catch lightning with its mane and store the electricity."
Bronzor,300,57,24,86,24,86,23,"They have lightning-like movements. When Zebstrika run at full speed, the sound of thunder reverberates."
Bronzong,500,67,89,116,79,116,33,"Its ear is hexagonal in shape. Compressed underground, its body is as hard as steel."
Bonsly,290,50,80,95,10,45,10,"When it overflows with power, the orange crystal on its body glows. It looks for underground water in caves."
Mime Jr.,310,20,25,45,70,90,60,Compressing the energy from its internal core lets it fire off an attack capable of blowing away a mountain.
Happiny,220,100,5,5,15,65,30,Its habitat is dark forests and caves. It emits ultrasonic waves from its nose to learn about its surroundings.
Chatot,411,76,65,45,92,42,91,"It emits sound waves of various frequencies from its nose, including some powerful enough to destroy rocks."
Spiritomb,485,50,92,108,92,108,35,It can dig through the ground at a speed of 30 mph. It could give a car running aboveground a good race.
Gible,300,58,70,45,40,45,42,It can help in tunnel construction. Its drill has evolved into steel strong enough to bore through iron plates.
Gabite,410,68,90,65,50,55,82,"It touches others with the feelers on its ears, using the sound of their heartbeats to tell how they are feeling."
Garchomp,600,108,130,95,80,85,102,It fights by swinging a piece of lumber around. It is close to evolving when it can handle the lumber without difficulty.
Mega Garchomp,700,108,170,115,120,95,92,This Pokemon is so muscular and strongly built that even a group of wrestlers could not make it budge an inch.
Munchlax,390,135,85,40,40,85,5,"It is thought that Conkeldurr taught humans how to make concrete more than 2,000 years ago."
Riolu,285,40,70,40,35,40,60,They warn others of danger by vibrating their cheeks to create a high-pitched sound.
Lucario,525,70,110,70,115,70,90,"When they vibrate the bumps on their heads, they can make waves in water or earthquake-like vibrations on land."
Mega Lucario,625,70,145,88,140,70,112,They shoot paralyzing liquid from their head bumps. They use vibration to hurt their opponents.
Hippopotas,330,68,72,78,38,42,32,"When it tightens its belt, it becomes stronger. Wild Throh use vines to weave their own belts."
Hippowdon,525,108,112,118,68,72,47,The sound of Sawk punching boulders and trees can be heard all the way from the mountains where they train.
Skorupi,330,40,50,90,30,55,65,Leavanny dress it in clothes they made for it when it hatched. It hides its head in its hood while it is sleeping.
Drapion,500,70,90,110,60,75,95,Forests where Swadloon live have superb foliage because the nutrients they make from fallen leaves nourish the plant life.
Croagunk,300,48,61,40,61,40,50,"Upon finding a small Pokemon, it weaves clothing for it from leaves, using the cutters on its arms and sticky silk."
Toxicroak,490,83,106,65,86,65,85,"Its bite injects a potent poison, enough to paralyze large bird Pokemon that try to prey on it."
Carnivine,454,74,100,72,90,72,46,"Protected by a hard shell, it spins its body like a wheel and crashes furiously into its enemies."
Finneon,330,49,49,56,49,61,66,"With quick movements, it chases down its foes, attacking relentlessly with its horns until it prevails."
Lumineon,460,69,69,76,69,86,91,"When attacked, it escapes by shooting cotton from its body. The cotton serves as a decoy to distract the attacker."
Mantyke,345,45,20,50,60,120,50,"Like the wind, it can slip through any gap, no matter how small. It leaves balls of white fluff behind."
Snover,334,60,62,50,62,60,40,The leaves on its head are very bitter. Eating one of these leaves is known to refresh a tired body.
Abomasnow,494,90,92,75,92,85,60,Even veteran Trainers face a challenge in getting its beautiful flower to bloom. This Pokemon is popular with celebrities.
Mega Abomasnow,594,90,132,105,132,105,30,"Red and blue Basculin get along so poorly, they’ll start fighting instantly. These Pokemon are very hostile."
Weavile,510,70,120,65,45,85,125,They live buried in the sands of the desert. The sun-warmed sands prevent their body temperature from dropping.
Magnezone,535,70,70,115,130,90,60,They live in groups of a few individuals. Protective membranes shield their eyes from sandstorms.
Lickilicky,515,110,85,95,80,95,50,"They never allow prey to escape. Their jaws are so powerful, they can crush the body of an automobile."
Rhyperior,535,115,140,130,55,55,40,"When its internal fire is burning, it cannot calm down and it runs around. When the fire diminishes, it falls asleep."
Tangrowth,535,100,100,125,110,50,50,"Its internal fire burns at 2,500° F, making enough power that it can destroy a dump truck with one punch."
Electivire,540,75,123,67,95,85,95,It uses an up-tempo song and dance to drive away the bird Pokemon that prey on its flower seeds.
Magmortar,540,75,95,67,125,95,83,This Pokemon can easily melt holes in hard rocks with a liquid secreted from its mouth.
Togekiss,545,85,50,95,120,115,80,"Competing for territory, Crustle fight viciously. The one whose boulder is broken is the loser of the battle."
Yanmega,515,86,76,86,116,56,95,"Its skin has a rubbery elasticity, so it can reduce damage by defensively pulling its skin up to its neck."
Leafeon,525,65,110,130,60,65,95,Groups of them beat up anything that enters their territory. Each can spit acidic liquid from its mouth.
Glaceon,525,65,60,110,130,95,65,"They never vary the route they fly, because their memories of guarding an ancient city remain steadfast."
Gliscor,510,75,95,125,45,75,95,Each of them carries a mask that used to be its face when it was human. Sometimes they look at it and cry.
Mamoswine,530,110,130,80,70,60,80,It has been said that they swallow those who get too close and turn them into mummies. They like to eat gold nuggets.
Porygon-Z,535,85,80,70,135,75,90,"Restored from a fossil, this Pokemon can dive to depths beyond half a mile."
Gallade,518,68,125,65,65,115,80,They can live both in the ocean and on land. A slap from one of them is enough to open a hole in the bottom of a tanker.
Mega Gallade,618,68,165,95,65,115,110,"Said to be an ancestor of bird Pokemon, they were unable to fly and moved about by hopping from one branch to another."
Probopass,525,60,55,145,75,150,40,"They are intelligent and will cooperate to catch prey. From the ground, they use a running start to take flight."
Dusknoir,525,45,100,135,65,135,45,Inhaling the gas they belch will make you sleep for a week. They prefer unsanitary places.
Froslass,480,70,80,70,80,70,110,It clenches opponents with its left arm and finishes them off with foul-smelling poison gas belched from its mouth.
Rotom,440,50,50,77,95,77,91,"It changes into the forms of others to surprise them. Apparently, it often transforms into a silent child."
Mega Rotom,520,50,65,107,105,107,86,Bonds between these Pokemon are very strong. It protects the safety of its pack by tricking its opponents.
Mega Rotom X,520,50,65,107,105,107,86,"They greet one another by rubbing each other with their tails, which are always kept well groomed and clean."
Mega Rotom X,520,50,65,107,105,107,86,Their white fur is coated in a special oil that makes it easy for them to deflect attacks.
Mega Rotom X,520,50,65,107,105,107,86,Their ribbonlike feelers increase their psychic power. They are always staring at something.
Mega Rotom X,520,50,65,107,105,107,86,They use hypnosis to control people and Pokemon. Tales of Gothorita leading people astray are told in every corner.
Uxie,580,75,75,130,75,130,95,Starry skies thousands of light-years away are visible in the space distorted by their intense psychic power.
Mesprit,580,80,105,105,105,105,80,They drive away attackers by unleashing psychic power. They can use telepathy to talk with others.
Azelf,580,75,125,70,125,70,115,"Since they have two divided brains, at times they suddenly try to take two different actions at once."
Dialga,680,100,120,120,150,100,90,"When Reuniclus shake hands, a network forms between their brains, increasing their psychic power."
Palkia,680,90,120,100,150,120,100,These bird Pokemon are excellent divers. They swim around in the water eating their favorite food--peat moss.
Heatran,600,91,90,106,130,106,77,Swanna start to dance at dusk. The one dancing in the middle is the leader of the flock.
Regigigas,670,110,160,110,80,110,100,The temperature of their breath is -58° F. They create snow crystals and make snow fall in the areas around them.
Giratina,680,150,100,120,100,120,90,"Snowy mountains are this Pokemon’s habitat. During an ancient ice age, they moved to southern areas."
Mega Giratina,680,150,120,100,120,100,90,"Swallowing large amounts of water, they make snow clouds inside their bodies and attack their foes with violent blizzards."
Cresselia,600,120,70,120,75,130,85,"The color and scent of their fur changes to match the mountain grass. When they sense hostility, they hide in the grass."
Phione,480,80,80,80,80,80,80,They migrate according to the seasons. People can tell the season by looking at Sawsbuck’s horns.
Manaphy,600,100,100,100,100,100,100,The energy made in its cheeks’ electric pouches is stored inside its membrane and released while it is gliding.
Darkrai,600,70,90,90,135,90,125,These mysterious Pokemon evolve when they receive electrical stimulation while they are in the same place as Shelmet.
Shaymin,600,100,100,100,100,100,100,"They fly around at high speed, striking with their pointed spears. Even when in trouble, they face opponents bravely."
Mega Shaymin,600,100,103,75,120,75,127,"It lures people in with its Poké Ball pattern, then releases poison spores. Why it resembles a Poké Ball is unknown."
Arceus,720,120,120,120,120,120,120,"It lures prey close by dancing and waving its arm caps, which resemble Poké Balls, in a swaying motion."
Victini,600,100,100,100,100,100,100,"With its thin, veil-like arms wrapped around the body of its opponent, it sinks to the ocean floor."
Snivy,308,45,45,55,45,55,63,"The fate of the ships and crew that wander into Jellicent’s habitat: all sunken, all lost, all vanished."
Servine,413,60,60,75,60,75,83,The special membrane enveloping Alomomola has the ability to heal wounds.
Serperior,528,75,75,95,75,95,113,Joltik that live in cities have learned a technique for sucking electricity from the outlets in houses.
Tepig,308,65,63,45,45,45,45,"When attacked, they create an electric barrier by spitting out many electrically charged threads."
Pignite,418,90,93,55,70,55,55,"When threatened, it attacks by shooting a barrage of spikes, which gives it a chance to escape by rolling away."
Emboar,528,110,123,65,100,65,65,It fights by swinging around its three spiky feelers. A hit from these steel spikes can reduce a boulder to rubble.
Oshawott,308,55,55,45,63,45,45,The two minigears that mesh together are predetermined. Each will rebound from other minigears without meshing.
Dewott,413,75,75,60,83,60,60,"By changing the direction in which it rotates, it communicates its feelings to others. When angry, it rotates faster."
Samurott,528,95,100,85,108,70,70,The gear with the red core is rotated at high speed for a rapid energy charge.
Patrat,255,45,55,39,35,39,42,"While one alone doesn’t have much power, a chain of many Tynamo can be as powerful as lightning."
Watchog,420,60,85,69,60,69,77,They coil around foes and shock them with electricity-generating organs that seem simply to be circular patterns.
Lillipup,275,45,60,45,25,45,55,They crawl out of the ocean using their arms. They will attack prey on shore and immediately drag it into the ocean.
Herdier,370,65,80,65,35,65,60,"It uses its strong psychic power to squeeze its opponent’s brain, causing unendurable headaches."
Stoutland,500,85,110,90,45,90,80,"It can manipulate an opponent’s memory. Apparently, it communicates by flashing its three different-colored fingers."
Purrloin,281,41,50,37,50,37,66,"Litwick shines a light that absorbs the life energy of people and Pokemon, which becomes the fuel that it burns."
Liepard,446,64,88,50,88,50,106,"This ominous Pokemon is feared. Through cities it wanders, searching for the spirits of the fallen."
Pansage,316,50,53,48,53,48,64,"It absorbs a spirit, which it then burns. By waving the flames on its arms, it puts its foes into a hypnotic trance."
Simisage,498,75,98,63,98,63,101,They use their tusks to crush the berries they eat. Repeated regrowth makes their tusks strong and sharp.
Pansear,316,50,53,48,53,48,64,"Since a broken tusk will not grow back, they diligently sharpen their tusks on river rocks after they’ve been fighting."
Simisear,498,75,98,63,98,63,101,They are kind but can be relentless when defending territory. They challenge foes with tusks that can cut steel.
Panpour,316,50,53,48,53,48,64,"When it is not feeling well, its mucus gets watery and the power of its Ice-type moves decreases."
Simipour,498,75,98,63,98,63,101,"It can make its breath freeze at will. Very able in the water, it swims around in northern seas and catches prey."
Munna,292,76,25,45,67,55,24,"When its body temperature goes up, it turns into steam and vanishes. When its temperature lowers, it returns to ice."
Musharna,487,116,55,85,107,95,29,"When attacked, it defends itself by closing the lid of its shell. It can spit a sticky, poisonous liquid."
Pidove,264,50,55,50,36,30,43,"When its body dries out, it weakens. So, to prevent dehydration, it wraps itself in many layers of thin membrane."
Tranquill,358,62,77,62,50,42,65,"Its skin is very hard, so it is unhurt even if stepped on by sumo wrestlers. It smiles when transmitting electricity."
Unfezant,488,80,115,80,65,55,93,"In fights, they dominate with onslaughts of flowing, continuous attacks. With their sharp claws, they cut enemies."
Blitzle,295,45,60,32,50,32,76,It wields the fur on its arms like a whip. Its arm attacks come with such rapidity that they cannot even be seen.
Zebstrika,497,75,100,63,80,63,116,"It warms its body by absorbing sunlight with its wings. When its body temperature falls, it can no longer move."
Roggenrola,280,55,75,85,25,25,15,"The energy that burns inside it enables it to move, but no one has yet been able to identify this energy."
Boldore,390,70,105,105,50,40,20,It flies across the sky at Mach speeds. Removing the seal on its chest makes its internal energy go out of control.
Gigalith,515,85,135,130,60,80,25,"Blades comprise this Pokemon’s entire body. If battling dulls the blades, it sharpens them on stones by the river."
Woobat,323,65,45,43,55,43,72,"It leads a group of Pawniard. It battles to become the boss, but will be driven from the group if it loses."
Swoobat,425,67,57,55,77,55,114,"Their fluffy fur absorbs damage, even if they strike foes with a fierce headbutt."
Drilbur,328,60,85,40,30,45,68,"They crush berries with their talons. They bravely stand up to any opponent, no matter how strong it is."
Excadrill,508,110,135,60,50,65,88,They fight for their friends without any thought about danger to themselves. One can carry a car while flying.
Audino,445,103,60,86,60,86,50,Their wings are too tiny to allow them to fly. They guard their posteriors with bones that were gathered by Mandibuzz.
Mega Audino,545,103,60,126,80,126,50,It makes a nest out of bones it finds. It grabs weakened prey in its talons and hauls it to its nest of bones.
Timburr,305,75,80,55,25,35,35,It breathes through a hole in its tail while it burns with an internal fire. Durant is its prey.
Gurdurr,405,85,105,85,40,50,40,"They attack in groups, covering themselves in steel armor to protect themselves from Heatmor."
Conkeldurr,505,105,140,95,55,65,45,"It tends to bite everything, and it is not a picky eater. Approaching it carelessly is dangerous."
Tympole,294,50,50,40,50,40,64,"After it has eaten up all the food in its territory, it moves to another area. Its two heads do not get along."
Palpitoad,384,75,65,55,65,55,69,"This brutal Pokemon travels the skies on its six wings. Anything that moves seems like a foe to it, triggering its attack."
Seismitoad,509,105,95,75,85,75,74,"This Pokemon was believed to have been born from the sun. When it evolves, its entire body is engulfed in flames."
Throh,465,120,100,85,30,85,45,"When volcanic ash darkened the atmosphere, it is said that Volcarona’s fire provided a replacement for the sun."
Sawk,465,75,125,75,30,75,85,This legendary Pokemon battled against humans to protect Pokemon. Its personality is calm and composed.
Sewaddle,310,45,53,70,40,60,42,This Pokemon came to the defense of Pokemon that had lost their homes in a war among humans.
Swadloon,380,55,63,90,50,80,42,This Pokemon fought humans in order to protect its friends. Legends about it continue to be passed down.
Leavanny,500,75,103,80,70,80,92,The lower half of its body is wrapped in a cloud of energy. It zooms through the sky at 200 mph.
Venipede,260,30,45,59,30,39,57,Countless charred remains mar the landscape of places through which Thundurus has passed.
Whirlipede,360,40,55,99,40,79,47,"This Pokemon appears in legends. It sends flames into the air from its tail, burning up everything around it."
Scolipede,485,60,100,89,55,69,112,"Concealing itself in lightning clouds, it flies throughout the Unova region. It creates electricity in its tail."
Cottonee,280,40,27,60,37,50,66,Lands visited by Landorus grant such bountiful crops that it has been hailed as “The Guardian of the Fields.”
Whimsicott,480,60,67,85,77,75,116,"It generates a powerful, freezing energy inside itself, but its body became frozen when the energy leaked out."
Petilil,280,45,35,50,70,50,30,"By blasting water from its hooves, it can glide across water. It excels at using leg moves while battling."
Lilligant,480,70,60,75,110,75,90,Its melodies are sung with a special vocalization method that can control the feelings of those who hear it.
Basculin,460,70,92,65,80,55,98,"Over 300 million years ago, it was feared as the strongest of hunters. It has been modified by Team Plasma."
Mega Basculin,460,70,92,65,80,55,98,
Sandile,292,50,72,35,35,35,65,
Krokorok,351,60,82,45,45,45,74,
Krookodile,519,95,117,80,65,70,92,
Darumaka,315,70,90,45,15,45,50,
Mega Darumaka,315,70,90,45,15,45,50,
Darmanitan,480,105,140,55,30,55,95,
Mega Darmanitan,540,105,30,105,140,105,55,
Mega Darmanitan X,480,105,140,55,30,55,95,
Mega Darmanitan X,540,105,160,55,30,55,135,
Maractus,461,75,86,67,106,67,60,
Dwebble,325,50,65,85,35,35,55,
Crustle,485,70,105,125,65,75,45,
Scraggy,348,50,75,70,35,70,48,
Scrafty,488,65,90,115,45,115,58,
Sigilyph,490,72,58,80,103,80,97,
Yamask,303,38,30,85,55,65,30,
Mega Yamask,303,38,55,85,30,65,30,
Cofagrigus,483,58,50,145,95,105,30,
Tirtouga,355,54,78,103,53,45,22,
Carracosta,495,74,108,133,83,65,32,
Archen,401,55,112,45,74,45,70,
Archeops,567,75,140,65,112,65,110,
Trubbish,329,50,50,62,40,62,65,
Garbodor,474,80,95,82,60,82,75,
Zorua,330,40,65,40,80,40,65,
Zoroark,510,60,105,60,120,60,105,
Minccino,300,55,50,40,40,40,75,
Cinccino,470,75,95,60,65,60,115,
Gothita,290,45,30,50,55,65,45,
Gothorita,390,60,45,70,75,85,55,
Gothitelle,490,70,55,95,95,110,65,
Solosis,290,45,30,40,105,50,20,
Duosion,370,65,40,50,125,60,30,
Reuniclus,490,110,65,75,125,85,30,
Ducklett,305,62,44,50,44,50,55,
Swanna,473,75,87,63,87,63,98,
Vanillite,305,36,50,50,65,60,44,
Vanillish,395,51,65,65,80,75,59,
Vanilluxe,535,71,95,85,110,95,79,
Deerling,335,60,60,50,40,50,75,
Sawsbuck,475,80,100,70,60,70,95,
Emolga,428,55,75,60,75,60,103,
Karrablast,315,50,75,45,40,45,60,
Escavalier,495,70,135,105,60,105,20,
Foongus,294,69,55,45,55,55,15,
Amoonguss,464,114,85,70,85,80,30,
Frillish,335,55,40,50,65,85,40,
Jellicent,480,100,60,70,85,105,60,
Alomomola,470,165,75,80,40,45,65,
Joltik,319,50,47,50,57,50,65,
Galvantula,472,70,77,60,97,60,108,
Ferroseed,305,44,50,91,24,86,10,
Ferrothorn,489,74,94,131,54,116,20,
Klink,300,40,55,70,45,60,30,
Klang,440,60,80,95,70,85,50,
Klinklang,520,60,100,115,70,85,90,
Tynamo,275,35,55,40,45,40,60,
Eelektrik,405,65,85,70,75,70,40,
Eelektross,515,85,115,80,105,80,50,
Elgyem,335,55,55,55,85,55,30,
Beheeyem,485,75,75,75,125,95,40,
Litwick,275,50,30,55,65,55,20,
Lampent,370,60,40,60,95,60,55,
Chandelure,520,60,55,90,145,90,80,
Axew,320,46,87,60,30,40,57,
Fraxure,410,66,117,70,40,50,67,
Haxorus,540,76,147,90,60,70,97,
Cubchoo,305,55,70,40,60,40,40,
Beartic,505,95,130,80,70,80,50,
Cryogonal,515,80,50,50,95,135,105,
Shelmet,305,50,40,85,40,65,25,
Accelgor,495,80,70,40,100,60,145,
Stunfisk,471,109,66,84,81,99,32,
Mega Stunfisk,471,109,81,99,66,84,32,
Mienfoo,350,45,85,50,55,50,65,
Mienshao,510,65,125,60,95,60,105,
Druddigon,485,77,120,90,60,90,48,
Golett,303,59,74,50,35,50,35,
Golurk,483,89,124,80,55,80,55,
Pawniard,340,45,85,70,40,40,60,
Bisharp,490,65,125,100,60,70,70,
Bouffalant,490,95,110,95,40,95,55,
Rufflet,350,70,83,50,37,50,60,
Braviary,510,100,123,75,57,75,80,
Vullaby,370,70,55,75,45,65,60,
Mandibuzz,510,110,65,105,55,95,80,
Heatmor,484,85,97,66,105,66,65,
Durant,484,58,109,112,48,48,109,
Deino,300,52,65,50,45,50,38,
Zweilous,420,72,85,70,65,70,58,
Hydreigon,600,92,105,90,125,90,98,
Larvesta,360,55,85,55,50,55,60,
Volcarona,550,85,60,65,135,105,100,
Cobalion,580,91,90,129,90,72,108,
Terrakion,580,91,129,90,72,90,108,
Virizion,580,91,90,72,90,129,108,
Tornadus,580,79,115,70,125,80,111,
Mega Tornadus,580,79,100,80,110,90,121,
Thundurus,580,79,115,70,125,80,111,
Mega Thundurus,580,79,105,70,145,80,101,
Reshiram,680,100,120,100,150,120,90,
Zekrom,680,100,150,120,120,100,90,
Landorus,600,89,125,90,115,80,101,
Mega Landorus,600,89,145,90,105,80,91,
Kyurem,660,125,130,90,130,90,95,
Mega Kyurem,700,125,170,100,120,90,95,
Mega Kyurem X,700,125,120,90,170,100,95,
Keldeo,580,91,72,90,129,90,108,
Mega Keldeo,580,91,72,90,129,90,108,
Meloetta,600,100,77,77,128,128,90,
Mega Meloetta,600,100,128,90,77,77,128,
Genesect,600,71,120,95,120,95,99,
Chespin,313,56,61,65,48,45,38,
Quilladin,405,61,78,95,56,58,57,
Chesnaught,530,88,107,122,74,75,64,
Fennekin,307,40,45,40,62,60,60,
Braixen,409,59,59,58,90,70,73,
Delphox,534,75,69,72,114,100,104,
Froakie,314,41,56,40,62,44,71,
Frogadier,405,54,63,52,83,56,97,
Greninja,530,72,95,67,103,71,122,
Mega Greninja,640,72,145,67,153,71,132,
Bunnelby,237,38,36,38,32,36,57,
Diggersby,423,85,56,77,50,77,78,
Fletchling,278,45,50,43,40,38,62,
Fletchinder,382,62,73,55,56,52,84,
